InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalPurchaseValue
536365,85123A,WHITE HANGING HEART T-LIGHT HOLDER,0.7651960784313725,2010-12-01 08:26:00,0.008644067796610169,0.9334360027378508,United Kingdom,0.006614406779661016
536365,71053,WHITE METAL LANTERN,0.7651960784313725,2010-12-01 08:26:00,0.011491525423728813,0.9334360027378508,United Kingdom,0.008793270189431704
536365,84406B,CREAM CUPID HEARTS COAT HANGER,0.765359477124183,2010-12-01 08:26:00,0.009322033898305085,0.9334360027378508,United Kingdom,0.007134706990140689
536365,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,0.7651960784313725,2010-12-01 08:26:00,0.011491525423728813,0.9334360027378508,United Kingdom,0.008793270189431704
536365,84029E,RED WOOLLY HOTTIE WHITE HEART.,0.7651960784313725,2010-12-01 08:26:00,0.011491525423728813,0.9334360027378508,United Kingdom,0.008793270189431704
536365,22752,SET 7 BABUSHKA NESTING BOXES,0.7648692810457516,2010-12-01 08:26:00,0.02593220338983051,0.9334360027378508,United Kingdom,0.019834745762711863
536365,21730,GLASS STAR FROSTED T-LIGHT HOLDER,0.7651960784313725,2010-12-01 08:26:00,0.01440677966101695,0.9334360027378508,United Kingdom,0.011024011299435027
536366,22633,HAND WARMER UNION JACK,0.7651960784313725,2010-12-01 08:28:00,0.006271186440677966,0.9334360027378508,United Kingdom,0.0047986872715187765
536366,22632,HAND WARMER RED POLKA DOT,0.7651960784313725,2010-12-01 08:28:00,0.006271186440677966,0.9334360027378508,United Kingdom,0.0047986872715187765
536367,84879,ASSORTED COLOUR BIRD ORNAMENT,0.7673202614379084,2010-12-01 08:34:00,0.005728813559322033,0.11156741957563332,United Kingdom,0.004395834718068018
536367,22745,POPPY'S PLAYHOUSE BEDROOM ,0.7651960784313725,2010-12-01 08:34:00,0.00711864406779661,0.11156741957563332,United Kingdom,0.00544715852442672
536367,22748,POPPY'S PLAYHOUSE KITCHEN,0.7651960784313725,2010-12-01 08:34:00,0.00711864406779661,0.11156741957563332,United Kingdom,0.00544715852442672
536367,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,0.765359477124183,2010-12-01 08:34:00,0.01271186440677966,0.11156741957563332,United Kingdom,0.009729145895646392
536367,22310,IVORY KNITTED MUG COSY ,0.7651960784313725,2010-12-01 08:34:00,0.00559322033898305,0.11156741957563332,United Kingdom,0.004279910269192422
536367,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,0.7651960784313725,2010-12-01 08:34:00,0.01440677966101695,0.11156741957563332,United Kingdom,0.011024011299435027
